account,seed,run_name,epochs,PE_1h,RMSE_45min,PE_6h,RMSE_6h,PE_12h,RMSE_12h,upper_bound
17,52,wider_delay_1.5h_seed52,40,0.9859604704959952,0.093569315969944,0.9004850131634269,0.24911561608314514,0.8528623222277343,0.30291062593460083,1.5
17,52,wider_delay_2.0h_seed52,40,0.9867954415281689,0.090744249522686,0.9079594290458164,0.23957768082618713,0.8597922860366484,0.29569128155708313,2.0
17,52,wider_delay_2.5h_seed52,40,0.9861161818146416,0.09304898232221603,0.9007376846701332,0.2487991601228714,0.8614834498285955,0.29390257596969604,2.5
17,52,wider_delay_3.0h_seed52,40,0.9862319199003897,0.0926603302359581,0.9007124276748296,0.24883081018924713,0.8547089616880079,0.3010037839412689,3.0
17,52,wider_delay_3.5h_seed52,40,0.9861077274893245,0.09307730942964554,0.8996784022249557,0.25012317299842834,0.8540994965902593,0.30163446068763733,3.5
17,56,wider_delay_4.0h_seed56,40,0.9859141412114192,0.09372357279062271,0.9025643843105968,0.24649924039840698,0.853183871191207,0.30257946252822876,4.0
18,53,wider_delay_1.5h_seed53,40,0.986340743390445,0.09229341149330139,0.9062613740112804,0.24177756905555725,0.8576260211956731,0.2979668080806732,1.5
18,53,wider_delay_2.0h_seed53,40,0.9859444653724442,0.09362263232469559,0.902563810831044,0.2464999556541443,0.8644572012632729,0.29073062539100647,2.0
18,53,wider_delay_2.5h_seed53,40,0.9860470328708454,0.09328041225671768,0.9033699856861053,0.245478093624115,0.8543818450874461,0.3013424575328827,2.5
18,53,wider_delay_3.0h_seed53,40,0.9858682360618704,0.09387616813182831,0.8979610460192216,0.2522549629211426,0.8549868178428224,0.300715833902359,3.0
18,53,wider_delay_3.5h_seed53,40,0.9854069100676269,0.09539613872766495,0.8958276423454384,0.25487834215164185,0.8507729529067275,0.3050537109375,3.5
18,53,wider_delay_4.0h_seed53,40,0.9862343079000686,0.09265229851007462,0.9049558239144027,0.2434554249048233,0.8552402767552851,0.30045291781425476,4.0
19,54,wider_delay_1.5h_seed54,40,0.9847856239372973,0.09740567207336426,0.8961483129953661,0.25448575615882874,0.844351507917095,0.31154802441596985,1.5
19,54,wider_delay_2.0h_seed54,40,0.986291842413907,0.09245847165584564,0.8940513850106377,0.25704213976860046,0.8467197608967567,0.3091687858104706,2.0
19,54,wider_delay_2.5h_seed54,40,0.9865377137879703,0.09162554889917374,0.9036490253047487,0.24512340128421783,0.856406147130369,0.2992405891418457,2.5
19,54,wider_delay_3.0h_seed54,40,0.9862213643145673,0.09269584715366364,0.9050873000756221,0.24328698217868805,0.8548012219747072,0.3009082078933716,3.0
19,54,wider_delay_3.5h_seed54,40,0.9860600974244356,0.09323672950267792,0.9001209432535938,0.24957089126110077,0.8540040701580052,0.3017330765724182,3.5
19,54,wider_delay_4.0h_seed54,40,0.9860827692337693,0.09316088259220123,0.9038547551205619,0.24486155807971954,0.8576697140043313,0.2979210615158081,4.0
20,55,wider_delay_1.5h_seed55,40,0.9852809404710596,0.09580699354410172,0.9011264201744811,0.24831150472164154,0.858070309077206,0.29750150442123413,1.5
20,55,wider_delay_2.5h_seed55,40,0.9859891966835016,0.09347353875637054,0.9011760082345602,0.24824923276901245,0.8558129309305629,0.29985806345939636,2.5
